bilet	vopros	order_number	user_count	correct
2	20	10	408	362
2	20	11	335	282
2	20	12	272	234
2	20	13	224	196
2	20	14	181	163
2	20	15	144	131
3	1	1	21979	20182
3	1	2	9956	9736
3	1	3	5919	5820
3	1	4	3890	3840
3	1	5	2826	2798
3	1	6	2092	2073
3	1	7	1599	1590
3	1	8	1218	1210
3	1	9	947	942
3	1	10	772	767
3	1	11	601	596
3	1	12	483	479
3	1	13	381	379
3	1	14	321	321
3	1	15	272	272
3	2	1	22299	13512
3	2	2	8813	7766
3	2	3	5401	4964
3	2	4	3645	3411
3	2	5	2671	2508
3	2	6	1998	1884
3	2	7	1522	1448
3	2	8	1156	1102
3	2	9	908	870
3	2	10	746	708
3	2	11	581	558
3	2	12	451	437
3	2	13	358	348
3	2	14	293	285
3	2	15	245	236
3	3	1	22010	20594
3	3	2	8527	8355
3	3	3	5043	4967
3	3	4	3276	3241
3	3	5	2352	2321
3	3	6	1727	1713
3	3	7	1299	1295
3	3	8	999	994
3	3	9	775	770
3	3	10	631	629
3	3	11	488	486
3	3	12	387	384
3	3	13	297	294
3	3	14	247	246
3	3	15	208	206
3	4	1	21781	17512
3	4	2	8495	7717
3	4	3	5091	4741
3	4	4	3363	3153
3	4	5	2440	2318
3	4	6	1828	1728
3	4	7	1373	1307
3	4	8	1051	1010
3	4	9	839	801
3	4	10	669	645
3	4	11	510	494
3	4	12	405	386
3	4	13	310	301
3	4	14	268	263
3	4	15	229	225
3	5	1	17677	14580
3	5	2	8485	7838
3	5	3	5107	4800
3	5	4	3391	3208
3	5	5	2415	2291
3	5	6	1798	1709
3	5	7	1341	1276
3	5	8	1022	984
3	5	9	799	763
3	5	10	632	603
3	5	11	520	492
3	5	12	403	380
3	5	13	326	311
3	5	14	267	261
3	5	15	228	220
3	6	1	17346	14450
3	6	2	8513	8006
3	6	3	5097	4884
3	6	4	3425	3280
3	6	5	2468	2404
3	6	6	1828	1764
3	6	7	1349	1322
3	6	8	1019	995
3	6	9	795	787
3	6	10	618	610
3	6	11	495	487
3	6	12	398	395
3	6	13	321	316
3	6	14	266	261
3	6	15	204	201
3	7	1	15660	13313
3	7	2	7456	6840
3	7	3	4380	4050
3	7	4	2846	2629
3	7	5	2009	1892
3	7	6	1444	1330
3	7	7	1084	1005
3	7	8	807	751
3	7	9	630	598
3	7	10	504	460
3	7	11	393	358
3	7	12	302	279
3	7	13	244	224
3	7	14	207	197
3	7	15	168	154
3	8	1	15596	14469
3	8	2	7404	7119
3	8	3	4289	4154
3	8	4	2748	2667
3	8	5	1938	1878
3	8	6	1405	1372
3	8	7	1021	1000
3	8	8	743	726
3	8	9	581	569
3	8	10	448	440
3	8	11	355	347
3	8	12	267	262
3	8	13	218	212
3	8	14	179	177
3	8	15	152	150
3	9	1	16024	13168
3	9	2	7493	6813
3	9	3	4367	4039
3	9	4	2815	2646
3	9	5	1958	1827
3	9	6	1433	1336
3	9	7	1047	987
3	9	8	765	716
3	9	9	596	568
3	9	10	477	458
3	9	11	370	351
3	9	12	285	269
3	9	13	233	216
3	9	14	198	190
3	9	15	162	154
3	10	1	16200	12878
3	10	2	8027	7666
3	10	3	4783	4629
3	10	4	3140	3080
3	10	5	2216	2166
3	10	6	1631	1595
3	10	7	1183	1162
3	10	8	862	848
3	10	9	677	665
3	10	10	516	504
3	10	11	393	387
3	10	12	312	309
3	10	13	254	247
3	10	14	215	212
3	10	15	180	177
3	11	1	16411	14447
3	11	2	7969	7389
3	11	3	4657	4368
3	11	4	3039	2868
3	11	5	2111	1998
3	11	6	1509	1428
3	11	7	1087	1034
3	11	8	820	779
3	11	9	630	596
3	11	10	490	469
3	11	11	385	364
3	11	12	309	296
3	11	13	245	236
3	11	14	214	206
3	11	15	175	170
3	12	1	17643	15400
3	12	2	8324	7665
3	12	3	4906	4577
3	12	4	3179	2968
3	12	5	2237	2067
3	12	6	1594	1453
3	12	7	1155	1055
3	12	8	865	780
3	12	9	673	620
3	12	10	520	476
3	12	11	428	392
3	12	12	339	316
3	12	13	279	256
3	12	14	236	217
3	12	15	200	186
3	13	1	19771	14098
3	13	2	7644	6743
3	13	3	4403	3994
3	13	4	2862	2612
3	13	5	1979	1818
3	13	6	1427	1320
3	13	7	1033	962
3	13	8	768	710
3	13	9	602	555
3	13	10	458	433
3	13	11	354	325
3	13	12	278	254
3	13	13	223	206
3	13	14	185	175
3	13	15	153	132
3	14	1	19678	17618
3	14	2	7523	6919
3	14	3	4221	3869
3	14	4	2676	2465
3	14	5	1827	1662
3	14	6	1319	1193
3	14	7	940	845
3	14	8	703	627
3	14	9	545	507
3	14	10	423	389
3	14	11	324	291
3	14	12	255	228
3	14	13	211	189
3	14	14	176	162
3	14	15	139	133
3	15	1	19425	10887
3	15	2	7604	5824
3	15	3	4495	3642
3	15	4	3020	2502
3	15	5	2161	1777
3	15	6	1623	1380
3	15	7	1200	1013
3	15	8	891	748
3	15	9	715	587
3	15	10	560	463
3	15	11	452	388
3	15	12	355	301
3	15	13	303	264
3	15	14	254	222
3	15	15	198	174
3	16	1	17070	12987
3	16	2	8048	7520
3	16	3	4671	4437
3	16	4	2959	2826
3	16	5	2049	1967
3	16	6	1450	1391
3	16	7	1041	1011
3	16	8	756	722
3	16	9	574	556
3	16	10	447	433
3	16	11	338	329
3	16	12	263	258
3	16	13	208	201
3	16	14	162	157
3	16	15	134	134
3	17	1	16014	14511
3	17	2	7680	7449
3	17	3	4378	4285
3	17	4	2828	2783
3	17	5	1930	1914
3	17	6	1332	1316
3	17	7	942	934
3	17	8	690	684
3	17	9	537	531
3	17	10	403	399
3	17	11	303	298
3	17	12	245	244
3	17	13	196	196
3	17	14	151	150
3	17	15	129	128
3	18	1	15411	11527
3	18	2	6827	5967
3	18	3	3836	3433
3	18	4	2409	2183
3	18	5	1643	1516
3	18	6	1135	1058
3	18	7	802	758
3	18	8	581	543
3	18	9	437	410
3	18	10	336	316
3	18	11	258	245
3	18	12	211	201
3	18	13	169	162
3	18	14	127	120
3	18	15	96	90
3	19	1	15277	10191
3	19	2	6826	5726
3	19	3	3853	3298
3	19	4	2500	2156
3	19	5	1726	1496
3	19	6	1237	1106
3	19	7	875	790
3	19	8	651	583
3	19	9	503	447
3	19	10	375	342
3	19	11	290	261
3	19	12	241	224
3	19	13	183	172
3	19	14	136	128
3	19	15	104	100
3	20	1	13708	11596
3	20	2	5362	5031
3	20	3	2840	2710
3	20	4	1728	1666
3	20	5	1151	1120
3	20	6	791	772
3	20	7	538	522
3	20	8	399	385
3	20	9	296	293
3	20	10	227	222
3	20	11	175	172
3	20	12	132	131
3	20	13	102	99
3	20	14	79	76
3	20	15	64	64
4	1	1	20115	17398
4	1	2	8872	8259
4	1	3	5354	5063
4	1	4	3655	3464
4	1	5	2626	2510
4	1	6	1929	1847
4	1	7	1491	1422
4	1	8	1167	1119
4	1	9	930	888
4	1	10	726	698
4	1	11	594	577
4	1	12	480	452
4	1	13	359	348
4	1	14	304	284
4	1	15	242	230
4	2	1	20087	13742
4	2	2	7581	6700
4	2	3	4637	4304
4	2	4	3206	3024
4	2	5	2257	2164
4	2	6	1667	1584
4	2	7	1274	1209
4	2	8	978	939
4	2	9	750	720
4	2	10	599	573
4	2	11	476	461
4	2	12	355	349
4	2	13	284	270
4	2	14	243	231
4	2	15	201	195
4	3	1	19795	18491
4	3	2	7289	7083
4	3	3	4327	4227
4	3	4	2853	2790
4	3	5	2002	1958
4	3	6	1469	1425
4	3	7	1105	1080
4	3	8	842	825
4	3	9	624	610
4	3	10	503	488
4	3	11	397	387
4	3	12	302	296
4	3	13	244	236
4	3	14	204	201
4	3	15	171	167
4	4	1	19628	16863
4	4	2	7286	6981
4	4	3	4313	4194
4	4	4	2857	2799
4	4	5	1985	1953
4	4	6	1459	1440
4	4	7	1087	1066
4	4	8	827	812
4	4	9	616	611
4	4	10	507	500
4	4	11	393	389
4	4	12	292	287
4	4	13	241	238
4	4	14	199	198
4	4	15	165	164
4	5	1	16105	12919
4	5	2	7448	6562
4	5	3	4558	4164
4	5	4	3033	2777
4	5	5	2158	2003
4	5	6	1578	1480
4	5	7	1164	1097
4	5	8	886	845
4	5	9	677	638
4	5	10	528	510
4	5	11	417	404
4	5	12	328	319
4	5	13	265	256
4	5	14	214	208
4	5	15	170	161
4	6	1	15342	13932
4	6	2	7336	7014
4	6	3	4423	4279
4	6	4	2916	2831
4	6	5	2023	1974
4	6	6	1497	1452
4	6	7	1096	1065
4	6	8	822	801
4	6	9	622	598
4	6	10	484	467
4	6	11	381	368
4	6	12	296	288
4	6	13	238	228
4	6	14	196	191
4	6	15	169	165
4	7	1	13864	12577
4	7	2	6293	6023
4	7	3	3690	3580
4	7	4	2371	2322
4	7	5	1661	1632
4	7	6	1169	1152
4	7	7	858	845
4	7	8	640	632
4	7	9	469	464
4	7	10	358	356
4	7	11	285	283
4	7	12	210	205
4	7	13	172	170
4	7	14	144	143
4	7	15	119	118
4	8	1	13870	12796
4	8	2	6279	6058
4	8	3	3701	3570
4	8	4	2379	2315
4	8	5	1647	1606
4	8	6	1166	1142
4	8	7	865	848
4	8	8	645	634
4	8	9	473	463
4	8	10	359	349
4	8	11	286	281
4	8	12	212	212
4	8	13	179	177
4	8	14	151	148
4	8	15	124	124
4	9	1	13838	10272
4	9	2	6287	5711
4	9	3	3762	3451
4	9	4	2469	2281
4	9	5	1734	1594
4	9	6	1245	1158
4	9	7	925	861
4	9	8	666	611
4	9	9	495	469
4	9	10	374	356
4	9	11	304	288
4	9	12	237	220
4	9	13	196	179
4	9	14	165	157
4	9	15	139	130
4	10	1	14460	12706
4	10	2	6969	6462
4	10	3	4226	3994
4	10	4	2816	2638
4	10	5	1991	1888
4	10	6	1456	1400
4	10	7	1054	1004
4	10	8	763	725
